id,number,name,detail
1,1,Hamilton - Grotto Bay,Via Tucker's Point and The Caves
2,1,Hamilton - St. George's,Via Tucker's Point; The Caves and Grotto Bay
3,2,Hamilton - Ord Road,Via Botanical Gardens and Elbow Beach
4,3,Hamilton - Grotto Bay,Via Middle Road; Devil's Hole; and The Caves
5,3,Hamilton - St. George's,Via Middle Road; Devil's Hole; The Caves; and Grotto Bay
6,4,Hamilton - Spanish Point,Via St. John's Road or North Shore Road
7,5,Hamilton - Pond Hill,Via Glebe Road
8,6,St. George's - St. David's,Via Southside Gate 1 / Main Road
9,6,St. George's - St. David's,Via Clearwater Beach
10,7,Hamilton - Barnes Corner,Via South Shore Beaches
11,7,Hamilton - Dockyard,Via South Shore Beaches; Somerset; and National Museum of Bermuda
12,8,Hamilton - Barnes Corner,Via Middle Road and Waterlot Inn
13,8,Hamilton - Dockyard,Via Middle Road and National Museum of Bermuda
14,8,Hamilton - Cedar Hill,Via Middle Road; Paget
15,8,Hamilton - Somerset,Via Middle Road and Waterlot Inn
16,9,Hamilton - Prospect,Via Bermuda National Stadium; Cedar Park; and Palmetto Road
17,10,Hamilton - St. George's,Via Palmetto Road; Aquarium; and Blue Hole Hill Roundabout
18,11,Hamilton - St. George's,Via Blackwatch Pass; Aquarium; and Blue Hole Hill Roundabout
